subclass,Camk2g,Cckbr,Chrm1,Fxr1,Gpr26,Gpr68,Grm8,Hcrtr2,Mas1,Mchr1,Rxfp1,Vps13a
004 L6 IT CTX Glut,85.63,67.02,89.2,64.17,61.47,39.76,98.7,1.72,34.49,12.93,31.65,91.67
005 L5 IT CTX Glut,91.11,54.4,90.97,68.11,78.23,35.23,94.95,9.48,20.41,15.21,29.94,94.7
006 L4/5 IT CTX Glut,90.6,68.97,91.06,65.57,85.77,31.32,67.33,0.93,14.71,10.25,7.44,93.54
007 L2/3 IT CTX Glut,83.37,73.36,92.02,65.29,69.64,35.29,43.29,0.73,24.82,20.14,3.82,93.07
022 L5 ET CTX Glut,83.61,74.22,89.44,75.39,65.15,6.15,98.74,3.53,44.77,31.99,34.07,89.68
029 L6b CTX Glut,87.01,72.82,74.97,64.38,41.17,2.65,81.02,34.99,27.36,18.6,25.85,87.45
030 L6 CT CTX Glut,93.11,60.85,83.19,64.63,63.58,11.66,97.61,12.44,17.6,7.83,27.19,91.67
032 L5 NP CTX Glut,82.3,9.03,58.32,55.82,63.99,9.6,96.59,28.76,1.65,7.25,25.33,81.62
046 Vip Gaba,53.28,2.41,37.08,48.89,3.97,11.72,64.14,34.12,1.37,5.52,9.83,54.56
049 Lamp5 Gaba,75.67,5.0,60.75,64.51,10.86,2.69,20.01,67.29,2.18,13.42,29.12,63.32
052 Pvalb Gaba,88.78,34.58,47.12,65.56,14.67,29.49,22.2,2.72,1.22,3.38,5.16,66.05
053 Sst Gaba,84.08,15.96,45.03,67.75,17.5,16.81,47.42,11.74,1.1,4.85,9.95,76.53
