region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_orbm_anchor
ORBm,001 CLA-EPd-CTX Car3 Glut,Mas1,377,0.635,11.41,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Gpr68,377,0.2076,3.98,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Mchr1,377,0.4856,9.02,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Chrm1,377,5.8049,85.41,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Grm8,377,5.1732,74.8,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Gpr26,377,2.1937,37.93,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Cckbr,377,0.8481,15.12,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Hcrtr2,377,0.2483,4.51,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Rxfp1,377,8.1288,92.04,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Camk2g,377,7.4911,96.55,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Fxr1,377,4.1818,67.64,False
ORBm,001 CLA-EPd-CTX Car3 Glut,Vps13a,377,7.01,96.02,False
ORBm,002 IT EP-CLA Glut,Mas1,733,2.2994,36.83,False
ORBm,002 IT EP-CLA Glut,Gpr68,733,1.6009,26.47,False
ORBm,002 IT EP-CLA Glut,Mchr1,733,0.5748,10.1,False
ORBm,002 IT EP-CLA Glut,Chrm1,733,6.111,86.9,False
ORBm,002 IT EP-CLA Glut,Grm8,733,8.313,96.45,False
ORBm,002 IT EP-CLA Glut,Gpr26,733,3.5063,54.98,False
ORBm,002 IT EP-CLA Glut,Cckbr,733,4.2214,65.35,False
ORBm,002 IT EP-CLA Glut,Hcrtr2,733,0.0523,0.95,False
ORBm,002 IT EP-CLA Glut,Rxfp1,733,2.0035,28.24,False
ORBm,002 IT EP-CLA Glut,Camk2g,733,5.7272,80.76,False
ORBm,002 IT EP-CLA Glut,Fxr1,733,3.8651,60.85,False
ORBm,002 IT EP-CLA Glut,Vps13a,733,6.7095,91.68,False
ORBm,003 L5/6 IT TPE-ENT Glut,Mas1,711,2.6172,44.59,False
ORBm,003 L5/6 IT TPE-ENT Glut,Gpr68,711,2.321,40.79,False
ORBm,003 L5/6 IT TPE-ENT Glut,Mchr1,711,0.9656,17.58,False
ORBm,003 L5/6 IT TPE-ENT Glut,Chrm1,711,6.4193,91.42,False
ORBm,003 L5/6 IT TPE-ENT Glut,Grm8,711,9.037,99.44,False
ORBm,003 L5/6 IT TPE-ENT Glut,Gpr26,711,4.1373,65.54,False
ORBm,003 L5/6 IT TPE-ENT Glut,Cckbr,711,4.0733,65.54,False
ORBm,003 L5/6 IT TPE-ENT Glut,Hcrtr2,711,0.107,1.83,False
ORBm,003 L5/6 IT TPE-ENT Glut,Rxfp1,711,4.8187,70.04,False
ORBm,003 L5/6 IT TPE-ENT Glut,Camk2g,711,5.1401,78.62,False
ORBm,003 L5/6 IT TPE-ENT Glut,Fxr1,711,4.0365,65.68,False
ORBm,003 L5/6 IT TPE-ENT Glut,Vps13a,711,6.5863,91.56,False
ORBm,004 L6 IT CTX Glut,Mas1,11338,2.02,34.49,True
ORBm,004 L6 IT CTX Glut,Gpr68,11338,2.3272,39.76,True
ORBm,004 L6 IT CTX Glut,Mchr1,11338,0.7126,12.93,True
ORBm,004 L6 IT CTX Glut,Chrm1,11338,6.2799,89.2,True
ORBm,004 L6 IT CTX Glut,Grm8,11338,8.6593,98.7,True
ORBm,004 L6 IT CTX Glut,Gpr26,11338,3.8719,61.47,True
ORBm,004 L6 IT CTX Glut,Cckbr,11338,4.3081,67.02,True
ORBm,004 L6 IT CTX Glut,Hcrtr2,11338,0.0974,1.72,True
ORBm,004 L6 IT CTX Glut,Rxfp1,11338,2.3158,31.65,True
ORBm,004 L6 IT CTX Glut,Camk2g,11338,6.0456,85.63,True
ORBm,004 L6 IT CTX Glut,Fxr1,11338,4.0,64.17,True
ORBm,004 L6 IT CTX Glut,Vps13a,11338,6.6978,91.67,True
ORBm,005 L5 IT CTX Glut,Mas1,4419,1.1189,20.41,True
ORBm,005 L5 IT CTX Glut,Gpr68,4419,1.9446,35.23,True
ORBm,005 L5 IT CTX Glut,Mchr1,4419,0.797,15.21,True
ORBm,005 L5 IT CTX Glut,Chrm1,4419,6.3353,90.97,True
ORBm,005 L5 IT CTX Glut,Grm8,4419,8.0446,94.95,True
ORBm,005 L5 IT CTX Glut,Gpr26,4419,5.1103,78.23,True
ORBm,005 L5 IT CTX Glut,Cckbr,4419,3.2231,54.4,True
ORBm,005 L5 IT CTX Glut,Hcrtr2,4419,0.5393,9.48,True
ORBm,005 L5 IT CTX Glut,Rxfp1,4419,1.963,29.94,True
ORBm,005 L5 IT CTX Glut,Camk2g,4419,6.48,91.11,True
ORBm,005 L5 IT CTX Glut,Fxr1,4419,4.1536,68.11,True
