gene,n_anchors,n_anchors_pct_ge_5,n_anchors_pct_ge_20,n_anchors_pct_ge_50,max_pct,max_pct_subclass,max_mean_log2,median_pct,mean_pct_across_anchors
Mas1,12,7,5,0,44.77,022 L5 ET CTX Glut,2.565,16.155,15.973333333333334
Gpr68,12,10,5,0,39.76,004 L6 IT CTX Glut,2.3272,14.265,19.364166666666666
Mchr1,12,10,2,0,31.99,022 L5 ET CTX Glut,1.7523,11.59,12.614166666666664
Chrm1,12,12,12,9,92.02,007 L2/3 IT CTX Glut,6.6784,79.08,71.59583333333333
Grm8,12,12,12,8,98.74,022 L5 ET CTX Glut,8.6593,74.175,69.33333333333333
Gpr26,12,11,8,7,85.77,006 L4/5 IT CTX Glut,6.003,62.525,48.0
Cckbr,12,11,8,7,74.22,022 L5 ET CTX Glut,4.865,57.625,44.885
Hcrtr2,12,7,4,1,67.29,049 Lamp5 Gaba,5.0831,10.61,17.370833333333334
Rxfp1,12,11,7,0,34.07,022 L5 ET CTX Glut,2.3158,25.59,19.945833333333336
Camk2g,12,12,12,12,93.11,030 L6 CT CTX Glut,7.0468,84.85499999999999,83.21249999999999
Fxr1,12,12,12,11,75.39,022 L5 ET CTX Glut,4.7128,64.96000000000001,64.1725
Vps13a,12,12,12,12,94.7,005 L5 IT CTX Glut,6.9462,88.565,81.98833333333333
